saleCode,storeCode,customerUUID,salesPersonUUID,date
yJHl,nPFqVY,cZVWyHHY-AhQa-v3Vt-QqHL-Q9bk8TvqL1cK,EAdGD6l1-MRRm-ASIx-Pzqp-ncdtd5pctFnB,2023-12-08
7SCN,FB0SuN,,HZW4maI3-Bg1A-CBof-WjBf-p0toPpRMtyvL,
LjYX,GnHwZi,K5bEzaT6-R7pH-jJoq-4YNR-Mp5FkRdGoax6,ZztCpjM9-MIDs-GDz8-OQtw-Eb5iTbtfWXLZ,2024-01-21
IB03,DXy6HY,,3KjTaF28-ZSeR-IfgD-iLGI-wMdVLHHBRBjr,2023-12-23
QcFW,IpFCVn,ofg1NVYA-FkWR-IBko-DBNQ-9XtbjS67Ndst,NAM8pkxC-Vy0e-nVPT-UAkj-d0mZiKigHtNP,2024-02-17
,,2qkRcOWX-eQzm-pxmP-OjW5-RcRUehOnAHxl,SwMFREPt-jYt3-rSv5-pYqj-e2A13IMNJzM7,2021-10-10
66ZL,Ti0HZB,TX01ZLeK-qxST-Kalg-6aUw-1UzhirgNNtbt,,2023-04-16
,OdfrQC,0oTaGsxK-WUXn-2G7b-Xcb4-MsVCGsMlHSbQ,Y7IhsymS-aMat-nyZw-G6DY-yUMnqFAdlDKL,2022-03-12
OdbR,7QUUvn,TaMbURdp-qTxl-yIDY-Av44-fuqCu8HwNUpl,SAaSIt7U-0L6K-hrBv-kFWs-Bqa45HZ8YP4y,2021-11-03
Un2V,GiPGZy,Q4elKVSX-ZMp1-4zkD-Px3n-uX7MoevklZpQ,N5N5f2Sv-kJJn-IPcP-kF44-3pv1wLromvY4,2023-08-12
3Bij,ZAPlQI,PmfE5G95-2Thv-RnjL-CNKp-l437AahqKTLT,v939g2jE-r1XP-oTaR-8883-59W8VW2ysqMH,2024-02-09
PWBm,jlhwNf,KAUqlLvY-spr6-uMRu-xhWJ-Odrdp3b84vGx,96J309Ig-sKeC-2IEy-gA2P-97oG3Re8ea98,2023-04-12
7Eq4,q0GZec,ieXdy3I6-n5Hb-IalO-OobG-1nEBm7InHbmI,,2021-11-03
,C8HFqD,,81PG2X2x-4st3-gX1m-ukGD-ytB1vveYomAN,2023-04-27
OsH7,GDixuE,jZpWej9a-jTUa-GK6W-Azn0-Jq8hNJAdkdRr,ajIGRIay-nJrv-odNi-1fXD-dodZwFPy18qK,2022-03-09
vNdy,y29n4h,VaRYwRCC-OYjk-Xmb4-pvcz-BClq4zIQZo6q,,2023-10-18
,w4DJFa,dZZwKfhX-bsDD-X9yL-yABI-JoQOTWLmcwXQ,4MEvgKeT-1GII-c2NE-XEzQ-T3WiH0ZAqMTu,2023-07-30
uWIu,,0uIR3gYU-zeZD-66p5-7ZnC-WphBIT265496,,2022-04-28
XzKE,jASjQV,,BW65nY8P-sZ5q-DaFT-AYvm-KFFwloblBXnD,
KxpU,k2FB2R,yBiMIbq8-m9zq-3VZG-u3id-CiFf1jHvk7bh,M1yDTHlA-O2WJ-tqoF-qTeM-lE6pwBO8tNYV,2023-03-30
A7Kx,lVY5Yb,Gd1SXj5F-dBLB-lTcu-2ylQ-AKBBfiBKX1II,gLjxzEpg-AoN6-5scx-9tTp-1iNJgE8Jkodu,
CguI,,22p1V2PQ-zFWW-ppjK-91G9-vkQxAE4tP6H2,PcYyMPwY-2pBc-I1vL-mdNN-eefA0MFhdTfu,2022-11-21
,jEPzCx,nRvyzudY-KcnH-8V9I-jVjc-RdIJnCXDx7R7,M5gvGQFM-EzWH-eA8H-M32a-eOu2ssz19Gmb,
LJjB,,4PrN1nR3-rKjP-4wKi-rcQU-pi1QBszF3cmL,,2023-06-07
SkvT,,hY64RAWg-RlUd-2kNM-bd9Z-jWPa5hz1ztgT,tpZBrApg-fTek-pzKS-jOsQ-xdsg7l3UlVKJ,2023-11-14
gXF7,oLFdDG,sm2E1lK4-IPQJ-dK8k-z9Ms-yZiJWDY0DIpv,RJtlEDDT-MIx6-4eEA-JgNN-K6f2Ulyyc1I3,2022-05-18
hArN,u9V2cA,umcUac2p-Cfru-6TMz-1St2-eQnXMRReFvOs,NoxeFY0v-W0z8-ZuDa-D53e-MulyuDNnBRNj,2022-09-15
Z3nc,draeuv,RquiZ7vR-9iHa-uuP7-UhHR-5wQHZ2XMA4z2,9RXUDxdW-4yVF-EHOH-zVvL-XfPKasZ6Z67H,
dW5R,3fmCiT,Y1VBbJn4-eXJ3-fRc1-l2Ev-htdpkWsp8lLe,,2022-11-30
,8pjLmf,H2bXwgIC-1SEf-bjnE-4dJ6-XHUM5qZGs7tY,gz8cuRE3-2PzS-h4ym-fTdF-kWrva93c2FqB,2023-06-16
CtYo,HlETyE,UBIHQoss-u3qy-hp8n-aE96-HzTOzwrJt5Ub,,
PCkt,GGiRJN,O1ZFha6m-4l8I-pHBt-ufFe-xDyCz7i0kG5Y,mtroNpm8-75ap-K5iz-PN9X-oEVmJb5dJ5nh,2021-11-21
HVsT,,hkYhr1pq-q6Ui-2KI8-sqGT-geZMOlKvOi2Q,4JZLjeH4-mOnr-eYHk-NUTb-RrdyuW0MrlBW,2023-10-08
o3rj,,jSF9fNcB-0qqG-6LD3-vkhp-BujgeDinePfZ,,
63w7,fFvcZd,,XJgeSGpt-SMsU-ughl-MoF2-2kRzlkhVOzml,2023-02-24
vzvQ,,U5g07tfA-bB7q-yiF0-ztNP-UqDZlEGYoEdN,,2021-10-02
tQjH,,,tlc22UKh-7TR7-LLqX-szYo-4tq6InbQTG2b,2022-01-20
BPEO,p6rfhM,Fu1Lx4Yo-Kay3-R9uo-BQ9E-r4F9dGeioD8k,V4ezMdBO-hUst-wckM-BcYf-DShw9sqaDCFf,2021-10-10
nqhP,,TeikK313-popO-DpZT-HBWz-6hEHgr0l0hoL,1n5MEB8C-GGWY-cLSq-ycUt-qw0D6GGkN5d8,2023-12-09
,9MPREX,yjV7THHd-y7aT-vsFd-VgCP-74Dasn3Oed7W,wNj2TXzB-9NDw-JFsK-Le7J-IPBjCe0lD34T,
,QH00Lm,,o9UYM3x0-l3EK-Fatf-GtTP-3NSVNC098MFh,2023-11-26
Csbm,pAs6A3,,,2022-01-06
Uv4i,qJMBIS,wdsjGdBm-1Ime-O2GL-y3fp-F2fPgvp8CGG9,XCxg6zf8-OIPS-7c71-mPHT-z4Dm3CdVaY3J,
Ivj3,9sU7vo,,Z9Lb6WzY-icWn-CfAz-3lxO-69P6PpsvxX4C,
C21n,ZGq3ef,,,2023-11-26
jYpS,jGuopN,LWonK8CG-bXdz-Dx4C-NH9k-cgb66z91iVd7,dkEFSow9-XDwK-6b5i-gZlj-ymQT2Uqhq6WS,2023-09-02
I5vO,FklJtR,xhM9nXiN-VWEk-NsAG-OZWF-WdIBPjgmAiH7,D3REmKjP-l3wT-onmX-0DRW-mPV29EuwN5uu,
VOyD,,gcoCXVGZ-e6lh-GFXi-aXMk-ICgGgsa8Ayyt,VO0Yx36M-ayxk-6N4A-xKgz-n1CoKGbpneIc,
,biPbzB,UdVyb34O-UMZI-53hK-GQ3m-kH4dlwGVhMe5,k3H5PXZI-Kxjm-UkkA-EexG-EM6QSxQiopcn,2022-03-01
CpGe,NTAAJy,kThNkC1k-4UIs-mMCM-1q7r-MfcPsKhT5s9U,pBzAc3Ba-xsPE-rlkT-Yy2M-rnunslf5Kuf8,
iGA3,,,lgMY1Jbk-ylSg-Ml4F-4zqs-7OegqYaUh49O,2023-08-14
tWlw,MBTSKk,PeBEyJ2h-Dta2-81kF-SvNj-37jaQkaYgMX7,czwLHOz1-wpVg-OrCG-9kjK-aKstaQMNWhHn,2022-11-27
UTSG,R4ARWJ,p2NKCNcv-a5zu-Sdrw-QqEA-TGALWirYxV7C,NhZzJIYW-y8sv-aJvD-X29N-cLR9rBrYwQJv,2021-12-08
jptN,zGbbkn,wLvE9cFN-9YiQ-jsfI-UphH-AGBd1mhMibna,nphOwUI0-sKUn-jN4n-mnE3-fD3u5JVTtWQB,2023-01-19
0lwN,keyRJQ,,orZ8jaGQ-4JVA-5Ay3-CTcr-VmRhCPJphcjW,
,,t4n2oVuF-mqre-hREP-IGc3-KM4ippfqXfbs,uqMw6Uz3-Y4u8-pXOY-D7rm-yawyZ8udstXc,2023-07-30
,XkVmeT,,yHGvvB3c-bd5F-Dfqy-ddY2-IdUN62juaRmN,2023-07-20
,nAHmIF,DHt9czDI-kHdZ-ZHlV-rEIB-eXkJXcUZQjpr,0hh8y4AX-1hrU-7rgg-22tC-lG1wkvIPGB45,2023-05-25
Pp9P,,XfGZDRrX-eRWH-N3Tw-gof5-gKiJCgEx3q4M,p5l84vrI-86GL-yRE4-KCeE-nW1ygRQWI1WN,2022-04-03
X4nR,DwKjBh,ASl57HS3-TQNj-pWSw-U4Xf-cc1mbholDdDY,sDcMHAdP-3PAo-ONQt-7jlo-HapoPJzv8H8Z,2023-02-11
Fa7O,YYoOcR,oXiI89Ap-PVvR-6NvS-BkVe-pc6w3xY0toR3,gOtgz3oL-MOrG-EEHg-tC9q-OX0aEq5gmYxw,
bkmr,GSiL8X,9lsjWPDP-fKeE-GuMv-WQGL-RUyfl6r9Ra8A,HDZ8PyXF-nTrs-0Lfg-Rqqg-0vMUhXy3svHz,2021-09-05
xLhc,huZvnY,BdPUALsm-tUVs-bCKy-Ziuq-J8WNgvbPnrlO,CcxCSFSH-oZbk-b2kP-e7yN-DdBmnnhwQenr,2022-07-08
JYos,rxulya,VwoGSRDX-2Nin-5qKY-CA7x-3Op0xzgTE52Y,jb4u3ZUv-CkvE-87pe-LtbW-MgZHFidyYUwu,2022-03-12
pHmJ,,myupg5Gy-hN9V-r56q-bKgM-zPmxuTjjsYW0,HRDT077F-EaU2-5MR2-r85a-blwgjOyjzGPl,2022-12-14
2KIJ,q6CQKh,50fa0NCl-0sna-PiXp-lKel-nnSquoNBXjJT,nCJwLlvV-MwgD-t7p1-JA1m-8RRnfKh5M5Ab,2021-10-21
,BgHWzU,IdCl6SkI-1cUz-sj0z-lL7G-JaiRPxRrCHxO,sV0EW48x-9LPP-8BqZ-zpVF-DSJngLqivgUi,
CTF9,pQn0av,9TwYXZiv-dX6M-v8cs-aca1-XohkW2Top9NA,VCXkAeDB-LktA-mcqT-vwtA-757zVIcr88sb,2023-08-18
,ID8pvq,yhtgAzh7-Cbl8-e61F-VZPR-FimC5g13w8VX,EBthp0lO-uVjf-dR49-7ThZ-rYhH6AUUVvXz,2022-04-02
Wpax,apkDzg,kJlaqTOi-9CJj-qKSx-shUn-OqDOuw13pRmi,ISNPEGKH-tMpy-pgc5-aPm4-tvqEuUJf2fgd,2022-09-05
gRSG,euPYZG,MH4V8aMa-d8Fh-l9bq-3TfF-hYyFKuzqsbzw,49rGarij-tSkY-HsLQ-lOvF-sW1nsCTVBfD5,2023-12-24
PPlz,0q3ZGa,ivdUeDhz-sc6H-mbsN-f77k-vrejdVT2xYqS,BgYdiUA3-qG0q-CSYM-dHi7-KXhi6BBxMgAe,2023-07-22
,,x6dD5g6R-hpea-0kuB-KZVJ-3ZfE5QrKcu6f,bDpYF1Cx-ZeKN-xBEc-edwK-DPk3jQFgsRuV,2022-06-21
p03I,OnDxjD,,10fnzD9H-gANg-c4JI-9AHG-cmFCnZky3Ye5,2021-10-29
bHYF,hanidY,qwS0ST1U-UbMI-Pfmn-NvoB-VWOOA8AGM0VA,,2022-03-17
rAUr,9bFZuj,Tmu2lkl1-9BdT-mpTe-MW1t-y5tJ54jgjfwA,,2023-09-27
uauk,q1RdBe,vTrU7PRG-GXi6-j9N3-QYMK-uOywn2mXEvWQ,,2022-08-19
T3hF,z0e2CW,el0snzAG-Wp73-FIbO-aJgJ-PDZf3sAvz1u3,ddyQTDgT-5Ogr-2mdc-z9Kd-9OQ1zzOZ7GKw,2023-06-09
OtGN,nHD6c5,IJNuln3e-0tTN-xpZE-BIpy-6tIyWV4R0o87,Z2NrwZZX-2GzS-Ka9a-sSBR-uNWc70QTf7Jq,2022-11-15
jYqt,gj8iWC,KkeDUVpS-CoTT-a4Pl-qUfv-KsnwZ2MOoMs0,,2021-09-05
Xcui,dct9at,TWRpftiL-YDeC-cZeh-zlJL-nEAoWDaXC6aq,dOkX6Alp-pYVl-n7rp-Mjy5-c3FObgQcqYkU,2022-05-26
uw01,aMmvSG,M72OX1nP-Rjep-gVso-tsok-o3XQlZTipC7g,mLYLtZ4h-mppT-dTJD-twNN-YKt0n6tgm3Il,2023-11-21
,Sni7V6,DDWPEgsH-jTtr-dFAO-4C4E-rO9a28Rpf8VQ,OYvMBuAC-YOal-0F17-vbLu-umJBgNo0jD5o,2022-05-01
CRfK,z1Y841,,93463dGj-y9TB-ZCME-iifD-jstzktPpsapR,2022-04-22
,jWhqSv,6007zN5O-hRle-lWWA-0NAP-70uN1WPhDHYp,DeApSr1U-kG03-YkX3-cfT1-pETFL9iR8MVr,2023-07-26
Cku2,fKT9Tp,RgWEzBvg-0H02-ldMu-p1Le-o5vnfvGO9dqf,,2022-04-03
,oPw6YA,QGFxYQG6-7WWV-vzkC-EiEQ-ymCLrl9OjNwC,3RoKfdUM-2rWM-OBQh-UOSQ-08DD2cznGPfa,2022-08-18
1CZk,MJikyV,v4qyfqs0-fdF6-ZfOa-CApS-MMjBOYvZKyyJ,1RD7LdMT-A7zG-c3p8-n3HS-kyyaZUz9MHvw,
1BaH,mW6Agy,v5YQHME2-kh14-Zyl6-xkxJ-kGNz4K4nVT4I,,2022-12-31
OEcH,1EocQE,xowNZpUC-sLdr-HC29-Cc0N-n2AoF9jnuOlg,hpomxp5Q-w24f-130k-BdkK-19veEixQdReh,2023-08-16
yZ3b,,B4jyC0S5-woXw-7Vvd-JM91-jW8hGzECca6f,KX3zKb78-4pZO-KQsv-CXlb-mTEQEMHuO4FN,2022-02-08
rJHs,8E5hfg,i16UcMcL-233R-pHHn-pAQu-tqYfaE2E8a52,,
itwq,,rQU0uPwR-d4lm-xSeO-QQZY-nUv7mab4lbl7,7qBd1iOH-68j3-rRYp-tXhu-djDQx1aqOo85,2023-03-10
yG4N,m4ohzy,E7JWNxw2-FVwh-Owm8-NV9B-rBK0SCCWffox,PZz9vt1u-uAsu-q4kl-On6Q-SZhZmuMZvdXS,2023-08-29
R8Xm,NCeTX0,,,2022-04-05
7hXQ,EAPdz1,Z3MasoQz-hka2-x1z0-qLw8-tPFH33PublRq,YFzGN2Pr-MnvX-Y52N-irlp-dHrt1SzsRi9f,2022-06-07
bfin,7Wujsy,Q5aTTPHN-ZzAh-IGlv-KXSR-J8dtdMW1RGpr,ytspnJmY-S75p-SIun-KLjI-Dsu0jQMy15On,
JiwR,k01c9h,,O6zu5qkC-m7de-hEex-QNHb-RHv7BcZL8jO3,2023-07-31
,d5i0Yn,Y7XGMLhe-4Y5Q-eq8d-jVEW-9LNZDRsvQUbv,5cHlj6cH-O22L-GErg-LIHN-pshbzGqTxNll,
ph0m,zYzg5Z,wNZmwxhj-jEfw-G80Z-6op7-9X8l8RyeRGwH,HEquS92w-4bQ0-22sD-bPN0-IY5QZFznNkFf,2024-01-15
,i26oKI,u8muMWHX-eJ8Y-KxmU-b5y8-1732ue7thF9q,19gogxVX-xdMV-Q9BZ-G8Pe-irvNEvcuQKAd,2023-06-20
iXuE,FUIEAU,W1fu0qfD-04uv-rskT-F2wE-0NKdcm82gYAY,OiXvG1Uk-TRva-sJRR-UKbq-9oLXiSAgigyL,2021-12-17
kdSH,5SJtcL,HOCvEJqm-l95K-Ihxb-sID3-c6lFQzf1vkst,IcMpKBNg-vldW-Aki5-ET2x-3T3JItp5sy0X,
TFTx,YLx1iA,19fjKrAK-9ywZ-TOoc-3ciA-mdwfAj89YKcB,jCZfnQa5-mb3r-I1Pg-Anqo-ura9WIfJOX5f,
J8b6,ChivTY,SgjME9gA-Bn94-Pbxc-xh36-fqwLXyVnJq0t,aIxMTe1s-EVEa-LGmZ-wr5n-TDTYvB9ivoYR,2023-05-21
4k2S,YxiqrY,Y64nF9YN-1yHo-tWDu-ZhOK-ii9CiY9tJZ6Z,3BrTIdeu-EY6A-uaLO-f4FV-Lvd9dXKOLhKx,2021-11-10
,cmK2gS,5F7ioom3-yP4H-xclm-Rv0w-Myj6Gwdxual8,Iy3CSeXV-jnfB-1WdO-1hhy-hnfaXSLSZWsm,2022-12-20
w5Ks,OboHJa,Q5PAGjc7-FPIc-4rIj-1Ly3-CCwpQHIIVWRb,byrYI29S-PiZj-6k4y-cW3l-knv9jCkycmc5,
IOFU,4tK1LC,dfwOOkT7-ctjE-HQIE-TheF-NoQiHu63a4YF,vFdWD2pZ-3Hay-Klla-orCa-WleJfutDEoaM,2022-07-31
NfOH,,G6JZl3eJ-xlcR-w184-H8sX-r5WLxAqcEiEy,,2022-05-23
,Nsqm3a,2liljDrF-fWrp-654n-wc7l-3UFHCfZD3Fbu,WfrN35f8-ZLcb-Nn5K-1FZb-kKLu3DArI4q4,2023-10-25
Yxeq,JqUyoP,,Q9PcCn1j-Hclc-yUX0-EtmR-39LAQBOT8h0x,
JHmM,jMsbWP,NX74JTr4-QVCW-jbDU-Addm-QC0wvN4yLeM3,bHqzQ6jL-Ho5d-imFH-BKOp-v60CX2mI4cLC,2021-09-15
T4bn,,,rG0vw3vI-yNt2-J2t4-ZIu1-HifiB7HYz4p6,2021-10-25
oK5V,9s134i,,Xu9y5etG-8J2C-W9vS-8Dhz-kPXsTOeFHWHl,
QMXH,,kXF1rdMR-DQsg-XLVu-Qdu4-ZHdmzbzt7Xz0,mO7HT1IU-J1kP-ZIy4-uPXf-JhFZ09fdNGvn,2022-02-14
,awuKhO,K1Fcbr3m-48cr-a6na-HNOU-dhNI8pe3EhnS,rUkeD8OC-hcbj-gOnF-BiIx-kB2Trbg0AaJ4,2023-05-02
DcfL,Zp47o3,,HZCXWPr1-BiYG-v1fI-i22S-8r66zBqawUJ6,2022-05-03
8GQ4,IVJ2F4,aiS3ORsn-Di9C-v6eJ-GwiK-rgo6htRs8CGj,HmTpV887-7jJF-VJ4o-x26e-HvIBDbfNp6Pj,
7m8S,,OqgW1i4A-81JF-QvAX-mp9n-fJkKzZT6SCzT,gY2syu7v-DbBL-8Jbl-GnDa-D2ZYA5lECVD1,2022-04-14
42MG,,,Ts1oes4G-01Om-yWcp-k2GV-AOE9S8D9DJoU,2022-06-26
FC5W,2Eg2Jn,4tqC7Vs8-WE1C-TMyx-Btuh-68aSPEFOzv8W,NbaY7YOA-Irrf-OY0m-ltvp-QpVrr0IbpoA6,
,0wYcF8,wXsOCKlK-bTzG-twfs-c2e1-NO7wZ7LMHzWv,5cWrmgTu-lOYr-3iy3-KueB-YkT2tWlgiHXi,2023-12-14
EX7N,eXhx6b,D0thZaby-FGwL-9tkz-9do9-jOBo8EtWhINw,bEnQcGR9-LmGv-wvfP-ctax-MLT4rvY0pxli,2022-11-16
YG5w,,,m8XKo4Rv-1jCg-5ULd-ubJM-GTHLc6h8wLPI,2022-07-10
1rSx,z2UBO3,lGfWwTT3-1bqj-O75X-4BQv-YpdZm7R0Ooum,UMFzmgcC-Nh9O-pgy4-I2RJ-QBeyDb8fGygH,2023-06-01
k3Hp,z1lIxg,KNv5KyDw-nWG6-hGn9-Iic6-I8ey7vV1kgZv,3gtMdtxy-yWUb-QON1-TUNX-dLjQX4IYss26,2023-05-08
boIq,kdxOkP,tMOFR2o5-48bg-Xkz1-aPDi-DlVpsuFdUAS2,,2023-03-15
QVA6,d9ODZX,u6ZT77R2-GOf8-0c61-pd1k-YAZzcqgpTzfw,hrMjQw3k-9Im1-TFmq-u1Rg-HVd7bIjFfZdS,2023-12-15
,,zj0CKE2i-yGHi-Jbuy-SFne-cuNS1ABQ7v3Z,7cgXtQPw-MtP3-9o45-wGst-r0ufJ63yEIUV,2022-05-13
ac20,307fFy,U9wynmzd-IEQU-hubM-nqUM-QApwet4QBQ9U,4Ijr9T7m-TmgI-8l3H-2jyc-UbUjYj9rCHKo,
IYFu,,,nA6oc3Vn-7IuK-N31o-kvSh-hW1evH8e1s7I,
1S23,p7gfWQ,,,2022-12-25
GG6b,i08OpV,Lb4S0duZ-EST6-59oL-zf9u-BzYDYMoqgh04,sv4bplS9-wdni-VXoC-czAD-AfgkBZthB50s,
,,,,2023-01-20
PLXE,,ONUFQH5i-v1N9-Gd7n-gTMd-N1p7Gtbq5E2a,xDRCvaBy-UAJe-fz9h-2d4u-MUsbseHTCz3z,2024-01-15
O62O,iHGCGt,tsVY2UYO-bRUE-nFzn-vRT4-ascyugJ6Xmiy,jHzAnklW-DyJ0-ArcH-ohmm-Blpd5CFV06Aq,2022-04-08
5KEe,ORK6Od,XH5kJe2Q-9MAb-2xsJ-yxKx-vUdhfuWIYGC5,uDkQ5Z6s-55YJ-00Fi-BT5a-sqyWSfs3XMEU,
SbWK,bYUFis,Fjr4wpf9-ncpx-OgYD-8CVs-cwChSUGMBKwI,fOoF0dyM-9hTd-NwyW-2ZfN-h7DtttGL3c6N,2022-03-19
1w0T,01aJi0,,v8A7uzGy-raw6-NOMd-kAur-y7Eiw95gX8g7,2023-07-22
Svt9,8dAli9,evobaUm6-ckGw-kWV9-R0Zo-AxmQL2ehxcDh,,2023-04-29
gzYE,OZqQsa,nR3FI8sM-COV1-TlCn-jGrH-9KxUAlvEYzFz,rStP4q6V-dUy3-sN2G-jMeG-3XAxYBHKCrOE,
8jRL,,g7145Ktc-zd6Z-8Fih-UF4e-XkIqjmEo9Ty7,HbPxSnZy-gqpv-MnQN-JfGB-jSREJb5NcAU7,2022-01-26
nS5S,,CAQLt4wf-Tfsg-jABX-nxA3-uhNPYYRfKCBm,PHmTbbAV-c4W5-vq2D-mawj-8ynKE9HTJRx7,
h4gr,,LoJdH81l-kS6Q-0LC3-mirX-G20oOuxwDuPD,KHQq7gJg-rPJb-ixiI-tVjB-Pau35M3CgDBM,
D9qp,wPidvW,gEq7hx6m-k2Fi-SqAX-Eoes-DTmXfqjxgDn3,kCACJtUj-1jHV-VmSB-QsXr-KCVJLU3Lo7OW,
,kfk5Z9,VoCYWZUm-7AEH-Sbjf-8u3s-ykgUpvyRHGv9,5MdZA6OT-3gGb-Y5YI-siWl-P0yL4trX0al2,2024-02-02
xJr3,qKsjvg,Zh83DuYQ-0LVz-zw86-UEyr-Rk9Fc9XcnRQH,G2bQhfFQ-ZDko-55Qu-GhBP-GySK0fkE5cuc,
